"Added to Cart","Added to Cart"
"The product was added to your cart","The product was added to your cart"
"Go to Cart","Go to Cart"
"Close","Close"
"%s product was added to your shopping cart.","%s product was added to your shopping cart."
"%s products were added to your shopping cart.","%s products were added to your shopping cart."
"%s was added to your shopping cart.","%s was added to your shopping cart."
